trial,breached,objective,maximin,avg_net,worst_tdd,n_survived,fail_window,RISK_CALM_MULT,RISK_VOLATILE_MULT,VOL_REGIME_DD_OFF,CFG_MAX_CUM_RISK,CFG_DAILY_HALT_PCT,CFG_TDD_CAUTION_PCT,CFG_RISK_CAUTIOUS,CFG_TDD_WARNING_PCT,CFG_RISK_CONSERVATIVE,CFG_TDD_EMERGENCY_PCT,CFG_RISK_ULTRASAFE,TDD_WALL_SAFETY,net_w0,net_w1,net_w2,net_w3,net_w4
2,True,-996000000.0,,,,4,4,1.2,0.8,3.0,3.5,2.5,5.5,0.45,7.5,0.25,8.5,0.25,4.5,112298,65017,74086,46271,
3,True,-996000000.0,,,,4,4,0.8500000000000001,1.75,4.5,4.0,1.75,3.5,0.55,4.0,0.45000000000000007,8.5,0.1,5.0,73533,43932,69635,27909,
4,False,27164.0,27164,72892,6.36,5,,0.8,1.2,3.0,3.5,2.5,5.5,0.45,7.5,0.25,8.5,0.25,4.5,151498,27164,79812,30133,75854
6,True,-996000000.0,,,,4,4,0.8500000000000001,1.75,4.5,4.0,1.75,3.5,0.55,4.0,0.45000000000000007,8.5,0.1,5.0,73533,43932,69635,27909,
7,True,-999000000.0,,,,1,1,1.35,0.7000000000000001,2.5,3.0,2.0,4.5,0.55,6.5,0.2,7.5,0.1,3.0,24385,,,,
8,False,12416.0,26866,43711,8.85,5,,0.95,1.5,2.5,4.0,2.75,3.0,0.2,6.5,0.2,7.0,0.2,4.5,26866,34200,39115,47299,71077
9,False,18251.0,18251,22804,6.98,5,,0.8,0.5,4.0,3.5,1.75,4.5,0.35000000000000003,5.0,0.30000000000000004,9.0,0.15000000000000002,3.5,18251,32403,25378,19172,18818
10,False,-3380.0,25420,71548,9.2,5,,1.05,0.65,5.0,4.5,3.5,6.0,0.25,7.5,0.15,9.0,0.1,3.0,70223,68804,145230,48064,25420
11,True,-998000000.0,,,,2,2,0.9,0.75,4.5,3.5,2.0,4.5,0.2,5.0,0.2,8.5,0.2,2.5,81110,23705,,,
12,False,-2994.0,35648,106373,9.39,5,,0.5,1.5500000000000003,4.0,4.5,3.0,3.0,0.75,5.0,0.45000000000000007,5.5,0.2,2.0,298140,37215,111250,49612,35648
13,False,573.0,3023,22749,8.35,5,,0.5,1.1,2.0,2.5,3.5,5.5,0.8,8.0,0.6,9.0,0.4,4.0,29098,9889,42486,3023,29250
14,False,1042.0,1042,28470,3.91,5,,0.7,0.45,3.5,3.0,2.25,4.5,0.35000000000000003,6.5,0.30000000000000004,8.0,0.3,3.5,2424,15787,72949,1042,50147
