trial,score,p_target,p30,p40,p50,complete_rate,median_days,fastest,breach_rate,n
0,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
1,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
2,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
3,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
4,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
5,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
6,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
7,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
8,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
9,145.0,0.04,0.04,0.08,0.28,0.84,63,28,0.0,25
10,145.0,0.04,0.04,0.08,0.28,0.84,63,28,0.0,25
11,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
12,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
13,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
14,145.0,0.04,0.04,0.08,0.28,0.84,63,28,0.0,25
15,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
16,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
17,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
18,145.0,0.04,0.04,0.08,0.28,0.84,63,28,0.0,25
19,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
20,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
21,145.0,0.04,0.04,0.08,0.28,0.84,63,28,0.0,25
22,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
23,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
24,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
25,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
26,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
27,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
28,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
29,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
30,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
