trial,score,p_target,p30,p40,p50,complete_rate,median_days,fastest,breach_rate,n
0,756.0,0.6,0.6,0.72,0.84,0.92,28,9,0.0,25
1,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,8
2,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,8
3,-188000.0,0.0,0.0,0.0,0.0,0.0,,,0.188,16
4,620.0,0.48,0.48,0.6,0.68,0.84,28,9,0.0,25
5,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
6,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,8
7,-83000.0,0.0,0.0,0.0,0.0,0.0,,,0.083,24
8,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,8
9,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,8
10,641.0,0.48,0.48,0.64,0.68,0.96,31,7,0.0,25
11,813.0,0.64,0.64,0.72,0.92,1.0,27,9,0.0,25
12,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,8
13,-188000.0,0.0,0.0,0.0,0.0,0.0,,,0.188,16
14,683.0,0.52,0.52,0.76,0.8,0.96,29,9,0.0,25
