trial,score,p_target,p30,p40,p50,complete_rate,median_days,fastest,breach_rate,n
0,184.0,0.08,0.08,0.08,0.24,0.84,64,29,0.0,25
1,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
2,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
3,-31.0,0.0,0.0,0.0,0.0,0.36,103,94,0.0,25
4,472.0,0.32,0.32,0.52,0.68,0.96,40,19,0.0,25
5,-83000.0,0.0,0.0,0.0,0.0,0.0,,,0.083,12
6,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
7,37.0,0.0,0.0,0.0,0.0,0.68,99,52,0.0,25
8,-27.0,0.0,0.0,0.0,0.0,0.36,99,67,0.0,25
9,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
10,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,16
11,117.0,0.04,0.04,0.08,0.24,0.76,75,28,0.0,25
12,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,16
13,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
14,166.0,0.08,0.08,0.16,0.2,0.8,74,24,0.0,25
15,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
16,186.0,0.08,0.08,0.16,0.32,0.8,54,29,0.0,25
17,47.0,0.0,0.0,0.0,0.12,0.72,97,41,0.0,25
18,311.0,0.16,0.16,0.48,0.72,0.96,41,21,0.0,25
19,517.0,0.36,0.36,0.64,0.88,0.96,35,11,0.0,25
20,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
21,436.0,0.28,0.28,0.64,0.8,0.96,36,15,0.0,25
22,477.0,0.32,0.32,0.64,0.72,0.96,35,20,0.0,25
23,435.0,0.28,0.28,0.4,0.68,1.0,45,13,0.0,25
24,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
25,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
26,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
27,340.0,0.2,0.2,0.4,0.56,0.92,44,21,0.0,25
28,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
29,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
30,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
31,428.0,0.28,0.28,0.64,0.64,0.92,36,13,0.0,25
32,601.0,0.44,0.44,0.84,0.84,0.96,31,18,0.0,25
33,429.0,0.28,0.28,0.6,0.72,0.92,35,20,0.0,25
