trial,score,p_target,p30,p40,p50,complete_rate,median_days,fastest,breach_rate,n
0,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
1,153.0,0.04,0.04,0.08,0.16,0.88,63,24,0.0,25
2,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
3,111.0,0.0,0.0,0.0,0.2,0.88,65,42,0.0,25
4,134.0,0.04,0.04,0.04,0.16,0.8,66,30,0.0,25
6,153.0,0.04,0.04,0.08,0.16,0.88,63,24,0.0,25
7,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
8,111.0,0.0,0.0,0.0,0.2,0.88,65,42,0.0,25
9,134.0,0.04,0.04,0.04,0.16,0.8,66,30,0.0,25
10,72.0,0.0,0.0,0.0,0.0,0.8,88,54,0.0,25
12,196.0,0.08,0.08,0.08,0.24,1.0,84,29,0.0,25
15,198.0,0.08,0.08,0.08,0.24,0.96,74,29,0.0,25
18,209.0,0.08,0.08,0.08,0.2,0.96,63,29,0.0,25
19,135.0,0.04,0.04,0.08,0.08,0.92,89,28,0.0,25
20,128.0,0.0,0.0,0.08,0.2,0.96,64,31,0.0,25
21,145.0,0.04,0.04,0.04,0.12,0.92,79,29,0.0,25
22,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
23,123.0,0.04,0.04,0.04,0.16,0.8,77,29,0.0,25
24,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,16
25,200.0,0.08,0.08,0.08,0.2,0.92,64,28,0.0,25
26,-50000.0,0.0,0.0,0.0,0.0,0.0,,,0.05,20
27,185.0,0.08,0.08,0.08,0.24,0.88,71,29,0.0,25
28,188.0,0.08,0.08,0.08,0.2,0.88,68,24,0.0,25
29,180.0,0.08,0.08,0.08,0.12,0.84,68,28,0.0,25
30,40.0,0.0,0.0,0.04,0.04,0.64,88,35,0.0,25
31,132.0,0.04,0.04,0.04,0.12,0.88,84,29,0.0,25
32,135.0,0.04,0.04,0.04,0.04,0.92,89,30,0.0,25
33,149.0,0.04,0.04,0.04,0.12,1.0,91,30,0.0,25
34,154.0,0.04,0.04,0.12,0.28,0.88,62,30,0.0,25
35,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
36,144.0,0.04,0.04,0.04,0.12,0.88,72,29,0.0,25
37,138.0,0.04,0.04,0.04,0.12,0.84,70,30,0.0,25
38,196.0,0.08,0.08,0.08,0.24,1.0,84,29,0.0,25
39,153.0,0.08,0.08,0.08,0.16,0.8,87,28,0.0,25
40,196.0,0.08,0.08,0.08,0.24,1.0,84,29,0.0,25
41,106.0,0.04,0.04,0.04,0.12,0.76,86,24,0.0,25
42,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
43,194.0,0.08,0.08,0.08,0.24,0.92,70,28,0.0,25
44,141.0,0.04,0.04,0.04,0.16,0.8,59,29,0.0,25
45,128.0,0.04,0.04,0.04,0.16,0.8,72,30,0.0,25
46,80.0,0.0,0.0,0.04,0.04,0.84,88,37,0.0,25
47,196.0,0.08,0.08,0.08,0.24,1.0,84,29,0.0,25
48,157.0,0.04,0.04,0.08,0.2,0.92,67,29,0.0,25
49,149.0,0.04,0.04,0.04,0.16,0.84,59,30,0.0,25
